,ECONOMÍA ,ECONOMÍA ,,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,ECONOMÍA ,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,GOBERNANZA,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,OPERACIONES,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD,SOCIEDAD
NAY,162750.3,26979.0,,1235456.0,"35,000",2.0,0.40%,143.0,0.10,1.81,"$203,307",94.4,4.65,2.1,"$8,676,940.16","$17,128,280",76.83,4.78,23.61%,63,43.6,,68,45.5,79.4,9460,91.60,38.70%,9,76.2,"2,852",7.5,21.7,69.60,,0.2,10232,2.22%,52,21.7,"6,40%",,867375
NL,1995054.7,64924.0,,5784442.0,"235,276",25.0,5.50%,1965.5,3.44,0.83,"$533,535",95.5,8.48,3.2,"$22,147,522.18","$225,000,000",85.27,1.56,28.17%,338,72.8,,75.4,56.7,85.7,13354,88.20,38.70%,7,78.3,"80,582",10.4,26.2,80.60,,1.1,141897,1.05%,104,26.2,"1,10%",,291186
OAX,447312.3,93952.0,,4132148.0,"190,000",157.0,0.10%,35.7,7.65,2.78,"$104,877",92.8,2.35,2.2,"$2,962,743.50","$6,093,376",79.45,2.06,18.58%,154,68.5,,64.9,31.8,72.8,16712,90.10,35.80%,11,66.5,"5,203",12,14,53,,0.12,15298,10.12%,94,14,"20,20%",,336235
PUE,852625.2,33902.0,,6583278.0,"326,650",143.0,3.80%,1358.0,3.24,0.93,"$206,270",93.9,2.61,7.8,"$6,762,315.87","$46,378,216",85.92,1.23,38.64%,331,75.7,,57,42.9,78.1,11897,76.20,41.90%,10,62.5,"13,423",10.5,19.4,58.30,,0.38,38086,5.73%,132,19.4,"11,40%",,252979
QRO,614127.2,11499.0,,2368467.0,"100,000",16.0,3.20%,1143.6,4.23,1.17,"$459,256",95.1,6.14,7.6,"$22,353,611.78","$110,000,000",90.85,3.55,40.76%,143,54.4,,65.6,56.1,85.5,12359,79.00,39.30%,8,56.5,"9,307",24.2,27.5,75.90,,0.65,33244,0.97%,89,27.5,"1,70%",,390916.6
QROO,403785.2,50212.0,,1857985.0,"60,000",1.0,0.20%,71.5,13.22,3.22,"$338,227",94.7,6.73,1.7,"$13,068,991.20","$16,127,135",73.86,4.04,30.29%,434,79.9,,46.5,50.5,81.2,16954,85.40,45.30%,9,73.2,"6,619",11.7,21.6,83.60,,0.24,41899,0.78%,47,21.6,"4,20%",,696269
SLP,575595.5,63068.0,,2822255.0,"110,000",5.0,2.90%,1036.4,8.04,0.76,"$268,358",94.9,5.23,2,"$12,380,527.91","$72,343,551",58.12,2.8,31.76%,495,74.4,,58.3,48,80,15617,70.70,59.20%,9,78.9,"6,775",13.7,20.6,63.50,,0.42,62007,4.58%,73,20.6,"7,40%",,197225.4
SIN,517683.5,58328.0,,3026943.0,"120,000",13.0,1.80%,643.3,0.25,1.28,"$253,344",94.6,4.31,2.3,"$9,043,499.23","$17,672,505",77.49,2.78,29.98%,226,54.9,,65.8,47.5,80.3,17728,55.20,58.70%,8,56.3,"7,230",7.3,27,81.40,,0.33,40289,1.97%,87,27,"1,80%",,91145
SON,827423.8,182052.0,,2944840.0,"115,000",7.0,2.50%,893.4,4.73,1.04,"$377,129",95,7.19,0.7,"$15,370,427.30","$48,485,159",78.76,2.61,37.61%,110,71.5,,57,50.7,81.8,16124,83.50,44.40%,8,72.6,"26,557",7.2,24,80.30,,0.48,49146,1.06%,82,24,"1,70%",,1410890
TAB,656392.2,25267.0,,2402598.0,"105,000",2.0,0.10%,35.7,2.93,1.91,"$317,131",92.9,6.25,3.9,"$7,212,776.92","$12,715,095",70.23,2.54,38.00%,0,84.8,,55.9,42.3,77.5,17938,68.00,51.50%,11,60.8,"2,492",15,20.5,68.30,,0.22,25459,1.48%,63,20.5,"11,20%",,333721
TAMPS,748220.5,79384.0,,3527735.0,"135,000",7.0,2.70%,965.0,-0.06,0.7,"$320,032",94.8,5.54,1.7,"$11,894,584.25","$174,000,000",49.79,1.53,25.13%,329,75.1,,60.5,46.9,79,12710,86.00,34.30%,10,71.8,"14,090",5.9,22.5,73.20,,0.37,30770,1.70%,93,22.5,"2,90%",,883541
TLAX,148814.3,4016.0,,1342977.0,"40,000",12.0,0.60%,214.4,1.48,0.63,"$148,563",94.1,3.72,15.6,"$8,004,738.81","$15,801,354",69.87,4.32,28.58%,3,63.3,,53.1,41.2,77.2,15242,89.50,31.90%,10,66.7,"1,674",9.3,19.6,62.70,,0.19,6251,0.47%,56,19.6,"6,80%",,34474
VER,1067881.1,71699.0,,8062579.0,"345,018",14.0,2.30%,821.9,2.49,1.01,"$177,655",93.6,3.10,4.7,"$5,976,268.24","$20,286,443",90.65,0.89,20.27%,447,79.3,,50.8,39.1,76.5,13705,83.10,56.70%,12,60.7,"9,659",15.2,18.2,58.20,,0.29,59610,11.28%,143,18.2,"13,10%",,221904
YUC,389194.0,38402.0,,2320898.0,"95,000",8.0,1.60%,571.8,5.44,1.7,"$250,036",94.5,4.10,2.5,"$8,179,457.29","$12,616,813",85.33,2.93,24.95%,39,30.6,,73.9,48.7,80.9,11419,70.10,46.50%,10,80,"8,478",7.9,22.1,70.60,,0.26,31020,2.77%,67,22.1,"5,60%",,99627
ZAC,228807.1,73252.0,,1622138.0,"50,000",3.0,1.20%,428.8,1.69,1.53,"$145,543",94.3,4.58,1,"$8,032,773.72","$13,213,913",76.91,3.33,27.01%,212,87.4,,62.9,44.1,78.3,8912,87.50,34.30%,10,44,"2,433",9.7,17.5,73.90,,0.16,11044,1.50%,53,17.5,"5,10%",,524962
,,,,,,,,,,,,https://es.statista.com/estadisticas/1194990/indice-calidad-laboral-estados-mexico/,,https://datos.gob.mx/busca/dataset?organization=inegi&tags=Comercio,https://desarrolloeconomico.edomex.gob.mx/unidades_economicas,,0.01160766106,https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2023/CNGE/CNGE2023.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,https://es.statista.com/estadisticas/1188766/valor-exportaciones-mercancias-por-estado-mexico/,,0.02097755402,,,,,,,,,,,,,,,,,,,,,,,,,,
